0,1,2,3,4,5,6,7,8,9,10
packaged fruit/vegetables,pip fruit,,,,,,,,,
root vegetables,soda,,,,,,,,,
chicken,other vegetables,,,,,,,,,
long life bakery product,whole milk,,,,,,,,,
tropical fruit,coffee,waffles,whipped/sour cream,,,,,,,
whole milk,salty snack,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
tropical fruit,cream cheese ,cream cheese ,,,,,,,,
UHT-milk,fruit/vegetable juice,,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
pork,oil,,,,,,,,,
whipped/sour cream,grapes,yogurt,spread cheese,,,,,,,
canned beer,pip fruit,instant coffee,yogurt,,,,,,,
specialty chocolate,brandy,,,,,,,,,
pip fruit,pip fruit,sliced cheese,dishes,,,,,,,
brown bread,tropical fruit,rolls/buns,,,,,,,,
hard cheese,soda,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
butter milk,fruit/vegetable juice,pastry,margarine,,,,,,,
whole milk,frozen fish,,,,,,,,,
canned beer,frozen vegetables,,,,,,,,,
other vegetables,brown bread,hard cheese,soda,roll products ,newspapers,,,,,
other vegetables,domestic eggs,soap,pastry,,,,,,,
chicken,pastry,candles,,,,,,,,
whipped/sour cream,bottled water,,,,,,,,,
hamburger meat,cat food,,,,,,,,,
cereals,sausage,tropical fruit,other vegetables,,,,,,,
curd,brown bread,,,,,,,,,
bottled beer,brown bread,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
other vegetables,soda,,,,,,,,,
other vegetables,meat,,,,,,,,,
soft cheese,specialty chocolate,,,,,,,,,
other vegetables,meat spreads,,,,,,,,,
pork,long life bakery product,,,,,,,,,
butter,margarine,,,,,,,,,
whole milk,chocolate,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
ham,napkins,,,,,,,,,
specialty chocolate,beverages,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
rolls/buns,oil,chocolate,,,,,,,,
frozen fish,rolls/buns,,,,,,,,,
ham,curd cheese,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
kitchen towels,rolls/buns,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
chicken,bottled water,,,,,,,,,
salty snack,brown bread,,,,,,,,,
brown bread,white wine,,,,,,,,,
bottled water,coffee,,,,,,,,,
coffee,packaged fruit/vegetables,,,,,,,,,
onions,flour,,,,,,,,,
whipped/sour cream,oil,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
root vegetables,white bread,,,,,,,,,
sausage,beverages,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
cat food,tropical fruit,onions,tidbits,,,,,,,
seasonal products,white wine,,,,,,,,,
whole milk,newspapers,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
pork,sliced cheese,flour,,,,,,,,
bottled water,soda,,,,,,,,,
frozen vegetables,newspapers,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
other vegetables,beef,tropical fruit,brown bread,cat food,,,,,,
newspapers,other vegetables,,,,,,,,,
whole milk,coffee,bottled beer,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
beef,root vegetables,,,,,,,,,
other vegetables,soda,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
canned vegetables,chocolate marshmallow,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
cling film/bags,curd,,,,,,,,,
hygiene articles,frozen dessert,,,,,,,,,
frankfurter,red/blush wine,rolls/buns,,,,,,,,
cream cheese ,pip fruit,citrus fruit,chicken,other vegetables,curd,specialty chocolate,pastry,,,
tropical fruit,tropical fruit,whole milk,,,,,,,,
sausage,soda,,,,,,,,,
meat,tropical fruit,yogurt,candles,,,,,,,
pork,whipped/sour cream,dishes,,,,,,,,
dessert,butter,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
misc. beverages,shopping bags,yogurt,,,,,,,,
beef,margarine,,,,,,,,,
tropical fruit,soda,,,,,,,,,
pastry,whipped/sour cream,decalcifier,,,,,,,,
liver loaf,specialty chocolate,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
grapes,bottled water,,,,,,,,,
bottled beer,specialty cheese,,,,,,,,,
sausage,whole milk,,,,,,,,,
light bulbs,whipped/sour cream,,,,,,,,,
pork,ham,specialty chocolate,whole milk,long life bakery product,detergent,,,,,
salty snack,citrus fruit,yogurt,berries,,,,,,,
spread cheese,specialty cheese,dish cleaner,,,,,,,,
domestic eggs,brown bread,specialty chocolate,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
other vegetables,soda,,,,,,,,,
ham,berries,,,,,,,,,
meat,pasta,,,,,,,,,
seasonal products,flower (seeds),,,,,,,,,
hamburger meat,hygiene articles,,,,,,,,,
pork,tropical fruit,,,,,,,,,
whole milk,bottled water,,,,,,,,,
frankfurter,rolls/buns,salt,,,,,,,,
bottled water,sparkling wine,,,,,,,,,
cat food,butter,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
pork,herbs,,,,,,,,,
meat,tropical fruit,rolls/buns,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
other vegetables,citrus fruit,pork,shopping bags,,,,,,,
rolls/buns,newspapers,,,,,,,,,
rolls/buns,candy,,,,,,,,,
whole milk,bottled water,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
other vegetables,soda,rolls/buns,dishes,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
whole milk,napkins,,,,,,,,,
bottled beer,candy,,,,,,,,,
whole milk,butter milk,rubbing alcohol,fruit/vegetable juice,,,,,,,
other vegetables,soda,hard cheese,coffee,whipped/sour cream,newspapers,,,,,
canned beer,salt,,,,,,,,,
sausage,pastry,shopping bags,,,,,,,,
onions,margarine,,,,,,,,,
ham,whole milk,sliced cheese,baking powder,,,,,,,
soda,bottled beer,,,,,,,,,
specialty bar,frozen meals,kitchen towels,whole milk,,,,,,,
pip fruit,shopping bags,,,,,,,,,
chicken,dessert,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
butter,margarine,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
soda,spread cheese,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
cat food,whipped/sour cream,whole milk,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
citrus fruit,rolls/buns,napkins,soda,,,,,,,
dessert,newspapers,bottled water,,,,,,,,
rolls/buns,waffles,,,,,,,,,
oil,soda,,,,,,,,,
rolls/buns,newspapers,specialty fat,domestic eggs,,,,,,,
whole milk,yogurt,long life bakery product,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
chewing gum,coffee,margarine,,,,,,,,
rolls/buns,root vegetables,yogurt,,,,,,,,
hamburger meat,frozen vegetables,,,,,,,,,
beverages,curd,,,,,,,,,
instant coffee,chewing gum,,,,,,,,,
hamburger meat,chewing gum,curd,,,,,,,,
pork,bottled water,,,,,,,,,
berries,shopping bags,,,,,,,,,
soft cheese,spices,,,,,,,,,
frozen vegetables,rolls/buns,,,,,,,,,
chicken,curd,,,,,,,,,
fish,sausage,other vegetables,soda,rolls/buns,,,,,,
long life bakery product,pip fruit,oil,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pork,domestic eggs,,,,,,,,,
sausage,butter,bottled water,,,,,,,,
other vegetables,waffles,rolls/buns,chocolate,,,,,,,
dessert,cream cheese ,,,,,,,,,
napkins,whipped/sour cream,,,,,,,,,
condensed milk,pastry,,,,,,,,,
herbs,sausage,candy,whole milk,,,,,,,
root vegetables,dog food,,,,,,,,,
butter milk,ham,whole milk,chicken,domestic eggs,shopping bags,chewing gum,shopping bags,white bread,,
whole milk,soda,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
meat,liquor,male cosmetics,fruit/vegetable juice,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
other vegetables,onions,shopping bags,,,,,,,,
root vegetables,soda,,,,,,,,,
pastry,red/blush wine,,,,,,,,,
whole milk,shopping bags,yogurt,canned beer,,,,,,,
citrus fruit,other vegetables,pip fruit,pork,soda,yogurt,herbs,red/blush wine,,,
bottled water,flour,sugar,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
citrus fruit,soda,,,,,,,,,
sausage,curd,fruit/vegetable juice,,,,,,,,
yogurt,salty snack,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
photo/film,whole milk,shopping bags,,,,,,,,
sausage,chicken,whipped/sour cream,sparkling wine,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pip fruit,napkins,cat food,,,,,,,,
whole milk,tropical fruit,root vegetables,Instant food products,margarine,,,,,,
chicken,house keeping products,,,,,,,,,
shopping bags,beef,citrus fruit,cat food,,,,,,,
coffee,white wine,,,,,,,,,
pastry,curd,,,,,,,,,
pastry,berries,,,,,,,,,
canned beer,margarine,pastry,,,,,,,,
sausage,spread cheese,bottled water,,,,,,,,
specialty chocolate,whole milk,red/blush wine,,,,,,,,
margarine,bathroom cleaner,,,,,,,,,
baking powder,root vegetables,,,,,,,,,
seasonal products,white bread,,,,,,,,,
sausage,Instant food products,,,,,,,,,
pork,canned beer,prosecco,fruit/vegetable juice,,,,,,,
cream cheese ,mustard,,,,,,,,,
rolls/buns,white wine,,,,,,,,,
pork,fruit/vegetable juice,,,,,,,,,
shopping bags,cake bar,,,,,,,,,
liquor (appetizer),whole milk,,,,,,,,,
tropical fruit,napkins,,,,,,,,,
citrus fruit,yogurt,coffee,,,,,,,,
frozen dessert,rolls/buns,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
specialty chocolate,brown bread,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
hard cheese,yogurt,,,,,,,,,
coffee,berries,,,,,,,,,
pet care,frozen vegetables,spices,,,,,,,,
citrus fruit,soda,,,,,,,,,
frozen meals,canned vegetables,other vegetables,turkey,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
butter,whole milk,root vegetables,butter,,,,,,,
other vegetables,other vegetables,,,,,,,,,
chicken,grapes,,,,,,,,,
sausage,beverages,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
baking powder,baking powder,mustard,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
rolls/buns,soda,snack products,long life bakery product,,,,,,,
sausage,curd,yogurt,,,,,,,,
salty snack,soups,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
fruit/vegetable juice,tropical fruit,,,,,,,,,
pip fruit,citrus fruit,curd,,,,,,,,
bottled water,yogurt,,,,,,,,,
pork,margarine,sugar,,,,,,,,
sausage,soda,frozen vegetables,,,,,,,,
whole milk,bottled beer,,,,,,,,,
pastry,whole milk,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
pip fruit,cake bar,,,,,,,,,
curd,detergent,,,,,,,,,
chicken,citrus fruit,whole milk,berries,instant coffee,,,,,,
ham,brown bread,,,,,,,,,
frankfurter,yogurt,other vegetables,herbs,male cosmetics,,,,,,
whole milk,citrus fruit,butter,pip fruit,,,,,,,
hard cheese,Instant food products,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
sugar,dish cleaner,,,,,,,,,
newspapers,beverages,beef,chocolate,kitchen towels,,,,,,
pip fruit,white wine,shopping bags,,,,,,,,
sausage,yogurt,,,,,,,,,
sausage,tropical fruit,misc. beverages,root vegetables,,,,,,,
pip fruit,dog food,soft cheese,packaged fruit/vegetables,pastry,domestic eggs,,,,,
canned beer,sugar,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
pork,domestic eggs,,,,,,,,,
pork,whole milk,whole milk,,,,,,,,
pork,other vegetables,yogurt,white bread,,,,,,,
sausage,whole milk,,,,,,,,,
oil,soda,,,,,,,,,
yogurt,sauces,specialty chocolate,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
white bread,liquor (appetizer),shopping bags,,,,,,,,
curd,coffee,,,,,,,,,
whole milk,grapes,,,,,,,,,
rolls/buns,other vegetables,soda,,,,,,,,
brown bread,sugar,,,,,,,,,
pastry,herbs,,,,,,,,,
beverages,salt,,,,,,,,,
processed cheese,tropical fruit,,,,,,,,,
cream cheese ,chocolate,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
sausage,yogurt,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
white bread,butter,,,,,,,,,
Instant food products,pip fruit,,,,,,,,,
instant coffee,onions,processed cheese,dental care,,,,,,,
yogurt,napkins,,,,,,,,,
margarine,sausage,sausage,pork,citrus fruit,yogurt,frozen meals,other vegetables,,,
tropical fruit,cat food,soda,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
flower (seeds),bottled water,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
frankfurter,instant coffee,root vegetables,coffee,instant coffee,sugar,rolls/buns,,,,
yogurt,margarine,yogurt,soft cheese,,,,,,,
whole milk,cream cheese ,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
tropical fruit,pork,soda,onions,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
other vegetables,dishes,,,,,,,,,
meat,beef,curd,,,,,,,,
seasonal products,whole milk,,,,,,,,,
detergent,misc. beverages,,,,,,,,,
ice cream,Instant food products,long life bakery product,,,,,,,,
misc. beverages,dishes,,,,,,,,,
soda,sugar,,,,,,,,,
whole milk,brown bread,,,,,,,,,
citrus fruit,cake bar,,,,,,,,,
beef,sausage,pet care,yogurt,newspapers,soda,,,,,
yogurt,napkins,,,,,,,,,
ice cream,rolls/buns,bottled beer,canned beer,,,,,,,
pork,grapes,,,,,,,,,
frozen meals,pasta,curd,,,,,,,,
whole milk,pastry,,,,,,,,,
specialty bar,rolls/buns,processed cheese,,,,,,,,
pastry,frozen fish,,,,,,,,,
root vegetables,frozen dessert,oil,,,,,,,,
root vegetables,canned beer,whole milk,oil,,,,,,,
citrus fruit,whole milk,bottled beer,,,,,,,,
whipped/sour cream,white bread,,,,,,,,,
root vegetables,soft cheese,yogurt,bottled water,,,,,,,
whole milk,rolls/buns,other vegetables,white bread,,,,,,,
finished products,curd cheese,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
rolls/buns,soda,red/blush wine,,,,,,,,
yogurt,dog food,semi-finished bread,napkins,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
whipped/sour cream,roll products ,,,,,,,,,
pastry,brown bread,,,,,,,,,
root vegetables,coffee,,,,,,,,,
chicken,citrus fruit,butter,rolls/buns,soft cheese,specialty bar,,,,,
canned beer,sliced cheese,cake bar,,,,,,,,
soda,brown bread,,,,,,,,,
sugar,coffee,cream cheese ,bottled water,,,,,,,
misc. beverages,oil,,,,,,,,,
cream cheese ,pickled vegetables,,,,,,,,,
pork,other vegetables,,,,,,,,,
sausage,root vegetables,,,,,,,,,
domestic eggs,yogurt,canned beer,,,,,,,,
pip fruit,whole milk,whole milk,,,,,,,,
whole milk,shopping bags,curd,,,,,,,,
hygiene articles,pastry,,,,,,,,,
root vegetables,chocolate marshmallow,,,,,,,,,
canned beer,ham,,,,,,,,,
soda,butter,other vegetables,margarine,,,,,,,
rolls/buns,popcorn,fruit/vegetable juice,,,,,,,,
brown bread,pet care,,,,,,,,,
other vegetables,salt,,,,,,,,,
organic sausage,yogurt,,,,,,,,,
sausage,hamburger meat,,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
ham,bottled water,margarine,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pip fruit,yogurt,syrup,,,,,,,,
sausage,house keeping products,,,,,,,,,
bottled water,brown bread,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
misc. beverages,tropical fruit,yogurt,specialty chocolate,,,,,,,
UHT-milk,brown bread,,,,,,,,,
finished products,bottled water,cling film/bags,,,,,,,,
yogurt,bottled water,long life bakery product,,,,,,,,
sausage,margarine,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
spread cheese,other vegetables,,,,,,,,,
root vegetables,beef,,,,,,,,,
hard cheese,napkins,bottled water,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
pork,salty snack,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
butter,sliced cheese,,,,,,,,,
butter,grapes,bottled water,,,,,,,,
chocolate,whole milk,hamburger meat,other vegetables,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
sausage,soda,,,,,,,,,
mustard,brown bread,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
tropical fruit,long life bakery product,napkins,,,,,,,,
white wine,butter,frozen fish,,,,,,,,
bottled beer,UHT-milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
root vegetables,UHT-milk,UHT-milk,spread cheese,shopping bags,,,,,,
salt,cream cheese ,,,,,,,,,
sausage,bottled water,whole milk,ketchup,soda,chewing gum,,,,,
frankfurter,other vegetables,root vegetables,other vegetables,,,,,,,
whole milk,coffee,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
coffee,specialty fat,,,,,,,,,
flour,grapes,frankfurter,bottled beer,citrus fruit,grapes,other vegetables,cat food,frozen vegetables,,
frankfurter,sliced cheese,sugar,,,,,,,,
other vegetables,semi-finished bread,domestic eggs,newspapers,,,,,,,
berries,shopping bags,,,,,,,,,
white bread,mayonnaise,,,,,,,,,
hygiene articles,cling film/bags,,,,,,,,,
pip fruit,popcorn,rolls/buns,bottled water,,,,,,,
organic sausage,frozen meals,sugar,,,,,,,,
beef,Instant food products,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
root vegetables,pip fruit,coffee,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
beef,spread cheese,misc. beverages,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
sausage,pastry,,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
other vegetables,soda,,,,,,,,,
pastry,red/blush wine,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
curd,bottled water,other vegetables,white bread,,,,,,,
chicken,sausage,tropical fruit,brown bread,domestic eggs,cake bar,fruit/vegetable juice,canned beer,,,
other vegetables,whole milk,,,,,,,,,
grapes,root vegetables,other vegetables,,,,,,,,
shopping bags,pickled vegetables,,,,,,,,,
yogurt,shopping bags,waffles,chocolate,,,,,,,
coffee,specialty vegetables,,,,,,,,,
whole milk,white bread,,,,,,,,,
chocolate,margarine,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
spread cheese,rolls/buns,,,,,,,,,
beef,shopping bags,,,,,,,,,
soda,salty snack,,,,,,,,,
root vegetables,specialty chocolate,whisky,,,,,,,,
dessert,mayonnaise,,,,,,,,,
chocolate,brown bread,,,,,,,,,
whole milk,frozen meals,,,,,,,,,
canned beer,sausage,butter,other vegetables,salty snack,,,,,,
pork,shopping bags,bottled water,,,,,,,,
soda,nut snack,,,,,,,,,
root vegetables,hard cheese,margarine,yogurt,,,,,,,
chicken,other vegetables,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
sausage,whipped/sour cream,soda,,,,,,,,
whole milk,root vegetables,,,,,,,,,
ham,whipped/sour cream,soda,light bulbs,,,,,,,
liquor,other vegetables,onions,female sanitary products,,,,,,,
bottled beer,whole milk,tropical fruit,whole milk,hygiene articles,pot plants,soda,,,,
pastry,curd,,,,,,,,,
white bread,pot plants,,,,,,,,,
newspapers,whole milk,,,,,,,,,
frankfurter,citrus fruit,bottled water,fruit/vegetable juice,,,,,,,
whole milk,canned beer,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
rolls/buns,pork,,,,,,,,,
soda,root vegetables,whole milk,pastry,,,,,,,
hard cheese,whole milk,,,,,,,,,
long life bakery product,shopping bags,,,,,,,,,
other vegetables,pip fruit,napkins,,,,,,,,
hard cheese,sugar,bottled water,,,,,,,,
ice cream,bottled beer,brown bread,,,,,,,,
hard cheese,canned beer,,,,,,,,,
citrus fruit,whole milk,rolls/buns,,,,,,,,
other vegetables,brown bread,,,,,,,,,
pork,pip fruit,,,,,,,,,
onions,whipped/sour cream,dishes,,,,,,,,
soda,soda,salty snack,,,,,,,,
sausage,pastry,,,,,,,,,
cake bar,flower soil/fertilizer,,,,,,,,,
root vegetables,sausage,condensed milk,other vegetables,canned beer,white bread,hard cheese,frozen vegetables,,,
root vegetables,yogurt,,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
tropical fruit,beef,curd,rolls/buns,whipped/sour cream,whole milk,candles,cake bar,flour,,
hamburger meat,yogurt,,,,,,,,,
other vegetables,rolls/buns,beverages,,,,,,,,
pip fruit,herbs,frozen meals,,,,,,,,
long life bakery product,waffles,,,,,,,,,
dishes,onions,canned beer,,,,,,,,
sausage,berries,,,,,,,,,
sausage,pasta,,,,,,,,,
yogurt,tea,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pork,hamburger meat,soda,other vegetables,popcorn,brown bread,bottled water,,,,
ham,other vegetables,napkins,,,,,,,,
beverages,chocolate marshmallow,,,,,,,,,
soda,whole milk,,,,,,,,,
newspapers,hard cheese,,,,,,,,,
canned beer,herbs,,,,,,,,,
whole milk,frozen vegetables,soda,,,,,,,,
pet care,mustard,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
yogurt,rolls/buns,berries,whole milk,zwieback,brown bread,newspapers,,,,
hygiene articles,chocolate,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
pastry,specialty bar,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
flower (seeds),bottled beer,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
chocolate marshmallow,soda,,,,,,,,,
citrus fruit,beef,,,,,,,,,
canned beer,white bread,,,,,,,,,
frankfurter,whole milk,shopping bags,rolls/buns,,,,,,,
butter,flour,fruit/vegetable juice,fruit/vegetable juice,,,,,,,
whole milk,chocolate marshmallow,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
margarine,liquor,,,,,,,,,
packaged fruit/vegetables,bottled water,pork,domestic eggs,,,,,,,
root vegetables,root vegetables,,,,,,,,,
soda,beef,beef,rolls/buns,shopping bags,chocolate,processed cheese,brown bread,dessert,,
cake bar,white bread,newspapers,,,,,,,,
frozen vegetables,flour,pickled vegetables,,,,,,,,
pet care,newspapers,dog food,,,,,,,,
other vegetables,curd,,,,,,,,,
misc. beverages,rolls/buns,frozen vegetables,beverages,condensed milk,,,,,,
soda,cling film/bags,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
root vegetables,popcorn,long life bakery product,domestic eggs,,,,,,,
other vegetables,curd,abrasive cleaner,,,,,,,,
other vegetables,other vegetables,dishes,,,,,,,,
citrus fruit,waffles,,,,,,,,,
seasonal products,flour,domestic eggs,,,,,,,,
tropical fruit,dessert,,,,,,,,,
tropical fruit,yogurt,brown bread,shopping bags,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
berries,root vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
root vegetables,soda,other vegetables,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
citrus fruit,soda,whipped/sour cream,,,,,,,,
citrus fruit,hygiene articles,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
other vegetables,berries,,,,,,,,,
house keeping products,rolls/buns,pickled vegetables,curd,,,,,,,
whole milk,butter,domestic eggs,,,,,,,,
frankfurter,beef,red/blush wine,whole milk,frozen dessert,,,,,,
whole milk,candy,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
whole milk,pastry,seasonal products,berries,long life bakery product,yogurt,coffee,,,,
tropical fruit,pork,UHT-milk,hamburger meat,,,,,,,
fruit/vegetable juice,female sanitary products,,,,,,,,,
pork,other vegetables,,,,,,,,,
beverages,rolls/buns,soups,white bread,,,,,,,
sausage,berries,,,,,,,,,
salad dressing,hard cheese,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
tropical fruit,onions,,,,,,,,,
bottled water,whole milk,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
bottled beer,processed cheese,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
berries,sliced cheese,,,,,,,,,
ham,curd,,,,,,,,,
frankfurter,bottled beer,domestic eggs,,,,,,,,
butter milk,margarine,,,,,,,,,
turkey,whipped/sour cream,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
specialty bar,brown bread,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
other vegetables,canned fish,,,,,,,,,
frozen vegetables,dishes,soda,domestic eggs,,,,,,,
ham,brown bread,,,,,,,,,
yogurt,yogurt,,,,,,,,,
specialty bar,bottled water,,,,,,,,,
domestic eggs,whole milk,onions,misc. beverages,,,,,,,
meat,grapes,,,,,,,,,
tropical fruit,waffles,,,,,,,,,
packaged fruit/vegetables,whole milk,,,,,,,,,
sausage,specialty bar,,,,,,,,,
ham,brown bread,,,,,,,,,
frozen fruits,dishes,,,,,,,,,
root vegetables,soda,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
dishes,salty snack,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
other vegetables,tropical fruit,white bread,specialty chocolate,pot plants,shopping bags,,,,,
rolls/buns,salty snack,,,,,,,,,
hamburger meat,bottled beer,coffee,instant coffee,yogurt,,,,,,
brown bread,bottled water,pastry,curd,,,,,,,
ham,rolls/buns,,,,,,,,,
citrus fruit,frozen dessert,,,,,,,,,
chicken,shopping bags,,,,,,,,,
sausage,onions,misc. beverages,,,,,,,,
whole milk,white bread,newspapers,,,,,,,,
other vegetables,candy,,,,,,,,,
misc. beverages,long life bakery product,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
soft cheese,coffee,,,,,,,,,
potato products,specialty bar,,,,,,,,,
chicken,whole milk,curd,frozen meals,beverages,,,,,,
sweet spreads,coffee,,,,,,,,,
chicken,pork,frozen fish,,,,,,,,
tropical fruit,whole milk,margarine,bottled beer,,,,,,,
bottled water,rolls/buns,,,,,,,,,
bottled water,dessert,,,,,,,,,
whole milk,onions,,,,,,,,,
frankfurter,dessert,pet care,soda,whipped/sour cream,,,,,,
bottled water,yogurt,,,,,,,,,
frozen meals,rolls/buns,tropical fruit,curd,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
sausage,sausage,tropical fruit,pip fruit,,,,,,,
frankfurter,other vegetables,sugar,,,,,,,,
pip fruit,chocolate,brown bread,,,,,,,,
dishes,dessert,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
berries,herbs,,,,,,,,,
other vegetables,white bread,whole milk,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
pork,beverages,misc. beverages,chewing gum,,,,,,,
margarine,frozen meals,,,,,,,,,
pickled vegetables,meat,,,,,,,,,
newspapers,yogurt,,,,,,,,,
domestic eggs,soda,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
meat,newspapers,,,,,,,,,
meat,citrus fruit,,,,,,,,,
soda,candy,,,,,,,,,
shopping bags,napkins,,,,,,,,,
pastry,berries,,,,,,,,,
sugar,fruit/vegetable juice,,,,,,,,,
roll products ,dishes,,,,,,,,,
meat,nuts/prunes,,,,,,,,,
